"species","value","id","Week"
"Hispus tadus",0.00261780104712042,"This year",1
"Hispus tadus",0,"This year",2
"Hispus tadus",0.00785340314136126,"This year",3
"Hispus tadus",0.00785340314136126,"This year",4
"Hispus tadus",0.0104712041884817,"This year",5
"Hispus tadus",0.0287958115183246,"This year",6
"Hispus tadus",0.0418848167539267,"This year",7
"Hispus tadus",0.0287958115183246,"This year",8
"Hispus tadus",0.0837696335078534,"This year",9
"Hispus tadus",0.12303664921466,"This year",10
"Hispus tadus",0.0994764397905759,"This year",11
"Hispus tadus",0.141361256544503,"This year",12
"Hispus tadus",0.212041884816754,"This year",13
"Hispus tadus",0.264397905759162,"This year",14
"Hispus tadus",0.295811518324607,"This year",15
"Hispus tadus",0.356020942408377,"This year",16
"Hispus tadus",0.361256544502618,"This year",17
"Hispus tadus",0.431937172774869,"This year",18
"Hispus tadus",0.575916230366492,"This year",19
"Hispus tadus",0.62303664921466,"This year",20
"Hispus tadus",0.633507853403141,"This year",21
"Hispus tadus",0.617801047120419,"This year",22
"Hispus tadus",0.725130890052356,"This year",23
"Hispus tadus",0.714659685863874,"This year",24
"Hispus tadus",0.819371727748691,"This year",25
"Hispus tadus",1,"This year",26
"Hispus tadus",0.767015706806283,"This year",27
"Hispus tadus",0.701570680628272,"This year",28
"Hispus tadus",0.795811518324607,"This year",29
"Hispus tadus",0.706806282722513,"This year",30
"Hispus tadus",0,"This year",31
"Hispus tadus",0,"This year",32
"Hispus tadus",0,"This year",33
"Hispus tadus",0,"This year",34
"Hispus tadus",0,"This year",35
"Hispus tadus",0,"This year",36
"Hispus tadus",0,"This year",37
"Hispus tadus",0,"This year",38
"Hispus tadus",0,"This year",39
"Hispus tadus",0,"This year",40
"Hispus tadus",0,"This year",41
"Hispus tadus",0,"This year",42
"Hispus tadus",0,"This year",43
"Hispus tadus",0,"This year",44
"Hispus tadus",0,"This year",45
"Hispus tadus",0,"This year",46
"Hispus tadus",0,"This year",47
"Hispus tadus",0,"This year",48
"Hispus tadus",0,"This year",49
"Hispus tadus",0,"This year",50
"Hispus tadus",0,"This year",51
"Hispus tadus",0,"This year",52
"Hispus tadus",0.0050761421319797,"Last year",1
"Hispus tadus",0.0050761421319797,"Last year",2
"Hispus tadus",0.00253807106598985,"Last year",3
"Hispus tadus",0.0050761421319797,"Last year",4
"Hispus tadus",0.0101522842639594,"Last year",5
"Hispus tadus",0.0152284263959391,"Last year",6
"Hispus tadus",0.0203045685279188,"Last year",7
"Hispus tadus",0.0456852791878173,"Last year",8
"Hispus tadus",0.050761421319797,"Last year",9
"Hispus tadus",0.0736040609137056,"Last year",10
"Hispus tadus",0.0761421319796954,"Last year",11
"Hispus tadus",0.116751269035533,"Last year",12
"Hispus tadus",0.131979695431472,"Last year",13
"Hispus tadus",0.197969543147208,"Last year",14
"Hispus tadus",0.208121827411168,"Last year",15
"Hispus tadus",0.230964467005076,"Last year",16
"Hispus tadus",0.307106598984772,"Last year",17
"Hispus tadus",0.368020304568528,"Last year",18
"Hispus tadus",0.50507614213198,"Last year",19
"Hispus tadus",0.441624365482233,"Last year",20
"Hispus tadus",0.616751269035533,"Last year",21
"Hispus tadus",0.695431472081218,"Last year",22
"Hispus tadus",0.631979695431472,"Last year",23
"Hispus tadus",0.794416243654822,"Last year",24
"Hispus tadus",0.804568527918782,"Last year",25
"Hispus tadus",0.791878172588833,"Last year",26
"Hispus tadus",1,"Last year",27
"Hispus tadus",0.857868020304569,"Last year",28
"Hispus tadus",0.692893401015228,"Last year",29
"Hispus tadus",0.725888324873096,"Last year",30
"Hispus tadus",0.639593908629442,"Last year",31
"Hispus tadus",0.66751269035533,"Last year",32
"Hispus tadus",0.609137055837564,"Last year",33
"Hispus tadus",0.446700507614213,"Last year",34
"Hispus tadus",0.362944162436548,"Last year",35
"Hispus tadus",0.530456852791878,"Last year",36
"Hispus tadus",0.304568527918782,"Last year",37
"Hispus tadus",0.347715736040609,"Last year",38
"Hispus tadus",0.17258883248731,"Last year",39
"Hispus tadus",0.187817258883249,"Last year",40
"Hispus tadus",0.131979695431472,"Last year",41
"Hispus tadus",0.114213197969543,"Last year",42
"Hispus tadus",0.0736040609137056,"Last year",43
"Hispus tadus",0.0583756345177665,"Last year",44
"Hispus tadus",0.0304568527918782,"Last year",45
"Hispus tadus",0.0482233502538071,"Last year",46
"Hispus tadus",0.00761421319796954,"Last year",47
"Hispus tadus",0.0304568527918782,"Last year",48
"Hispus tadus",0.0228426395939086,"Last year",49
"Hispus tadus",0,"Last year",50
"Hispus tadus",0.0050761421319797,"Last year",51
"Hispus tadus",0.00761421319796954,"Last year",52
"Hispus tadus",0.0020703933747412,"Historic",1
"Hispus tadus",0.0020703933747412,"Historic",2
"Hispus tadus",0.0041407867494824,"Historic",3
"Hispus tadus",0.0082815734989648,"Historic",4
"Hispus tadus",0.0062111801242236,"Historic",5
"Hispus tadus",0.010351966873706,"Historic",6
"Hispus tadus",0.020703933747412,"Historic",7
"Hispus tadus",0.0331262939958592,"Historic",8
"Hispus tadus",0.0434782608695652,"Historic",9
"Hispus tadus",0.072463768115942,"Historic",10
"Hispus tadus",0.10351966873706,"Historic",11
"Hispus tadus",0.111801242236025,"Historic",12
"Hispus tadus",0.151138716356108,"Historic",13
"Hispus tadus",0.194616977225673,"Historic",14
"Hispus tadus",0.271221532091097,"Historic",15
"Hispus tadus",0.260869565217391,"Historic",16
"Hispus tadus",0.351966873706004,"Historic",17
"Hispus tadus",0.407867494824017,"Historic",18
"Hispus tadus",0.530020703933747,"Historic",19
"Hispus tadus",0.530020703933747,"Historic",20
"Hispus tadus",0.679089026915114,"Historic",21
"Hispus tadus",0.710144927536232,"Historic",22
"Hispus tadus",0.695652173913043,"Historic",23
"Hispus tadus",0.832298136645963,"Historic",24
"Hispus tadus",0.859213250517598,"Historic",25
"Hispus tadus",0.925465838509317,"Historic",26
"Hispus tadus",1,"Historic",27
"Hispus tadus",0.915113871635611,"Historic",28
"Hispus tadus",0.786749482401656,"Historic",29
"Hispus tadus",0.782608695652174,"Historic",30
"Hispus tadus",0.749482401656315,"Historic",31
"Hispus tadus",0.703933747412008,"Historic",32
"Hispus tadus",0.641821946169772,"Historic",33
"Hispus tadus",0.509316770186335,"Historic",34
"Hispus tadus",0.455486542443064,"Historic",35
"Hispus tadus",0.507246376811594,"Historic",36
"Hispus tadus",0.360248447204969,"Historic",37
"Hispus tadus",0.364389233954451,"Historic",38
"Hispus tadus",0.20703933747412,"Historic",39
"Hispus tadus",0.200828157349896,"Historic",40
"Hispus tadus",0.161490683229814,"Historic",41
"Hispus tadus",0.124223602484472,"Historic",42
"Hispus tadus",0.0848861283643892,"Historic",43
"Hispus tadus",0.0496894409937888,"Historic",44
"Hispus tadus",0.0372670807453416,"Historic",45
"Hispus tadus",0.031055900621118,"Historic",46
"Hispus tadus",0.020703933747412,"Historic",47
"Hispus tadus",0.020703933747412,"Historic",48
"Hispus tadus",0.0144927536231884,"Historic",49
