"path","basename","classification"
"../www/images/species//Abraxas_grossulariata/1884a_grossulariatarw.jpg","1884a_grossulariatarw.jpg","good"
"../www/images/species//Abraxas_grossulariata/1884magpiemothlarvagf.jpg","1884magpiemothlarvagf.jpg","bad"
"../www/images/species//Abraxas_grossulariata/1884magpiemothpupagf.jpg","1884magpiemothpupagf.jpg","bad"
"../www/images/species//Abraxas_grossulariata/thumbnail/1884abraxasgrossulariataik.jpg","1884abraxasgrossulariataik.jpg","good"
"../www/images/species//Abraxas_sylvata/thumbnail/cloudedmagpielarva2.jpg","cloudedmagpielarva2.jpg","bad"
"../www/images/species//Abrostola_tripartita/2450a_tripartitalarvabs.jpg","2450a_tripartitalarvabs.jpg","bad"
"../www/images/species//Abrostola_tripartita/thespectacleik2.jpg","thespectacleik2.jpg","good"
"../www/images/species//Abrostola_tripartita/thumbnail/2450abrostola_tripartitaik.jpg","2450abrostola_tripartitaik.jpg","good"
"../www/images/species//Abrostola_triplasia_sensu_Bradley_(2000)/darkspectacletd.jpg","darkspectacletd.jpg","good"
"../www/images/species//Abrostola_triplasia_sensu_Bradley_(2000)/thumbnail/darkspectacle.jpg","darkspectacle.jpg","good"
"../www/images/species//Acasis_viretata/thumbnail/yellowbarredbrindle270898.jpg","yellowbarredbrindle270898.jpg","good"
"../www/images/species//Acasis_viretata/yellowbarredbrindlelarvaik.jpg","yellowbarredbrindlelarvaik.jpg","bad"
"../www/images/species//Acherontia_atropos/atropos_larva_brownnp.jpg","atropos_larva_brownnp.jpg","bad"
"../www/images/species//Acherontia_atropos/deathsheadhawkmothtd.jpg","deathsheadhawkmothtd.jpg","good"
"../www/images/species//Acherontia_atropos/thumbnail/1973deathsheadhawkmothkan.jpg","1973deathsheadhawkmothkan.jpg","good"
"../www/images/species//Achlya_flavicornis/1659yellowhornedlarvagf.jpg","1659yellowhornedlarvagf.jpg","bad"
"../www/images/species//Achlya_flavicornis/thumbnail/1659a_flavicorniswp.jpg","1659a_flavicorniswp.jpg","good"
"../www/images/species//Acontia_lucida/paleshouldercat2.jpg","paleshouldercat2.jpg","bad"
"../www/images/species//Acontia_lucida/paleshoulderlarva.jpg","paleshoulderlarva.jpg","bad"
"../www/images/species//Acontia_lucida/thumbnail/paleshoulder.jpg","paleshoulder.jpg","good"
"../www/images/species//Acosmetia_caliginosa/1773reddishbuffmalejp.jpg","1773reddishbuffmalejp.jpg","good"
"../www/images/species//Acosmetia_caliginosa/thumbnail/1773reddishbuffjp.jpg","1773reddishbuffjp.jpg","good"
"../www/images/species//Acronicta_aceris/2279a_acerislarvamvp.jpg","2279a_acerislarvamvp.jpg","bad"
"../www/images/species//Acronicta_aceris/acronicta_aceris_larva_ngd.jpg","acronicta_aceris_larva_ngd.jpg","bad"
"../www/images/species//Acronicta_aceris/thumbnail/sycamore.jpg","sycamore.jpg","good"
"../www/images/species//Acronicta_alni/2281aldermothedc.jpg","2281aldermothedc.jpg","good"
"../www/images/species//Acronicta_alni/2281aldermothlarvagf.jpg","2281aldermothlarvagf.jpg","bad"
"../www/images/species//Acronicta_alni/thumbnail/2281aldermoth.jpg","2281aldermoth.jpg","good"
"../www/images/species//Acronicta_euphorbiae/2288sweetgalelarvarl.jpg","2288sweetgalelarvarl.jpg","bad"
"../www/images/species//Acronicta_euphorbiae/2288sweetgalemothgf.jpg","2288sweetgalemothgf.jpg","good"
"../www/images/species//Acronicta_euphorbiae/thumbnail/2288sweetgalerl.jpg","2288sweetgalerl.jpg","good"
"../www/images/species//Acronicta_leporina/2280a_leporinalarva1bs.jpg","2280a_leporinalarva1bs.jpg","bad"
"../www/images/species//Acronicta_leporina/2280a_leporinalarva2bs.jpg","2280a_leporinalarva2bs.jpg","bad"
